timestamp,boarding,alighting,day_of_week,temperature,hour_of_day,month,weekend
9/1/18 6:00,0,1,Sat,74.82,6,Sep,weekend
9/1/18 6:15,2,1,Sat,74.82,6,Sep,weekend
9/1/18 6:30,3,4,Sat,74.82,6,Sep,weekend
9/1/18 6:45,3,4,Sat,74.82,6,Sep,weekend
9/1/18 7:00,2,4,Sat,74.39,7,Sep,weekend
9/1/18 7:15,4,4,Sat,74.39,7,Sep,weekend
9/1/18 7:30,3,12,Sat,74.39,7,Sep,weekend
9/1/18 7:45,8,4,Sat,74.39,7,Sep,weekend
9/1/18 8:00,4,15,Sat,75.72,8,Sep,weekend
9/1/18 8:15,7,10,Sat,75.72,8,Sep,weekend
9/1/18 8:30,2,4,Sat,75.72,8,Sep,weekend
9/1/18 8:45,1,12,Sat,75.72,8,Sep,weekend
9/1/18 9:00,7,15,Sat,79.69,9,Sep,weekend
9/1/18 9:15,10,9,Sat,79.69,9,Sep,weekend
9/1/18 9:30,11,15,Sat,79.69,9,Sep,weekend
9/1/18 9:45,9,22,Sat,79.69,9,Sep,weekend
9/1/18 10:00,19,26,Sat,83.2,10,Sep,weekend
9/1/18 10:15,16,9,Sat,83.2,10,Sep,weekend
9/1/18 10:30,37,10,Sat,83.2,10,Sep,weekend
9/1/18 10:45,18,16,Sat,83.2,10,Sep,weekend
9/1/18 11:00,18,12,Sat,86.55,11,Sep,weekend
9/1/18 11:15,27,34,Sat,86.55,11,Sep,weekend
9/1/18 11:30,5,14,Sat,86.55,11,Sep,weekend
9/1/18 11:45,20,13,Sat,86.55,11,Sep,weekend
9/1/18 12:00,4,10,Sat,88.97,12,Sep,weekend
9/1/18 12:15,28,14,Sat,88.97,12,Sep,weekend
9/1/18 12:30,17,12,Sat,88.97,12,Sep,weekend
9/1/18 12:45,17,21,Sat,88.97,12,Sep,weekend
9/1/18 13:00,15,11,Sat,91.11,13,Sep,weekend
9/1/18 13:15,22,9,Sat,91.11,13,Sep,weekend
9/1/18 13:30,14,15,Sat,91.11,13,Sep,weekend
9/1/18 13:45,22,17,Sat,91.11,13,Sep,weekend
9/1/18 14:00,27,13,Sat,92.6,14,Sep,weekend
9/1/18 14:15,7,12,Sat,92.6,14,Sep,weekend
9/1/18 14:30,11,17,Sat,92.6,14,Sep,weekend
9/1/18 14:45,17,14,Sat,92.6,14,Sep,weekend
9/1/18 15:00,22,13,Sat,94.93,15,Sep,weekend
9/1/18 15:15,11,23,Sat,94.93,15,Sep,weekend
9/1/18 15:30,26,12,Sat,94.93,15,Sep,weekend
9/1/18 15:45,5,17,Sat,94.93,15,Sep,weekend
9/1/18 16:00,22,20,Sat,95.24,16,Sep,weekend
9/1/18 16:15,18,12,Sat,95.24,16,Sep,weekend
9/1/18 16:30,23,7,Sat,95.24,16,Sep,weekend
9/1/18 16:45,20,30,Sat,95.24,16,Sep,weekend
9/1/18 17:00,16,14,Sat,97.64,17,Sep,weekend
9/1/18 17:15,13,17,Sat,97.64,17,Sep,weekend
9/1/18 17:30,15,17,Sat,97.64,17,Sep,weekend
9/1/18 17:45,34,29,Sat,97.64,17,Sep,weekend
9/1/18 18:00,13,19,Sat,97.39,18,Sep,weekend
9/1/18 18:15,22,8,Sat,97.39,18,Sep,weekend
9/1/18 18:30,6,2,Sat,97.39,18,Sep,weekend
9/1/18 18:45,18,14,Sat,97.39,18,Sep,weekend
9/1/18 19:00,9,14,Sat,95.35,19,Sep,weekend
9/1/18 19:15,8,15,Sat,95.35,19,Sep,weekend
9/1/18 19:30,9,5,Sat,95.35,19,Sep,weekend
9/1/18 19:45,13,25,Sat,95.35,19,Sep,weekend
9/1/18 20:00,13,12,Sat,92.65,20,Sep,weekend
9/1/18 20:15,15,23,Sat,92.65,20,Sep,weekend
9/1/18 20:30,4,7,Sat,92.65,20,Sep,weekend
9/1/18 20:45,13,33,Sat,92.65,20,Sep,weekend
9/1/18 21:00,30,23,Sat,90.82,21,Sep,weekend
9/1/18 21:15,5,16,Sat,90.82,21,Sep,weekend
9/1/18 21:30,5,8,Sat,90.82,21,Sep,weekend
9/1/18 21:45,13,9,Sat,90.82,21,Sep,weekend
9/2/18 6:00,0,0,Sun,77.35,6,Sep,weekend
9/2/18 6:15,2,0,Sun,77.35,6,Sep,weekend
9/2/18 6:30,2,0,Sun,77.35,6,Sep,weekend
